ID,Parent Company,Acquired Company,Business,Acquisition Date
1,Apple,Network Innovations,Software,1988-03-01
2,Apple,Orion Network Systems,Computer Software,1988-06-01
3,Apple,Styleware,Computer software,1988-06-01
4,Apple,Nashoba Systems,Computer software,1988-07-01
5,Apple,Coral Software,Computer software,1989-01-01
6,Apple,NeXT,Unix-like hardware and software platform,1997-02-01
7,Apple,Power Computing Corporation,Macintosh clones,1997-09-01
8,Apple,Xemplar Education,Software,1999-01-01
9,Apple,Raycer Graphics,Computer graphic chips,1999-11-01
10,Apple,NetSelector,Internet software,2000-01-01
11,Apple,Astarte-DVD Authoring Software,Software,2000-04-01
12,Apple,SoundJam MP,Software,
13,Apple,Bluefish Labs,Productivity software,
14,Apple,bluebuzz,Internet service provider (ISP),2001-05-01
15,Apple,Spruce Technologies,Graphics software,2001-07-01
16,Apple,PowerSchool,Online info systems services,2001-12-01
17,Apple,Nothing Real,Special effects software,2002-02-01
18,Apple,Zayante,FireWire chips and software,2002-04-01
19,Apple,Silicon Grail Corp-Chalice,Digital effects software,2002-06-01
20,Apple,Propel Software,internet and network optimization for wireless carriers,2002-06-01
21,Apple,Prismo Graphics,Special-effects titling software for film and video,2002-06-01
22,Apple,Emagic,Music production software,2002-07-01
23,Apple,SchemaSoft,Software,2005-03-01
24,Apple,FingerWorks,Gesture recognition company,2005-04-01
25,Apple,Silicon Color,Software,2006-10-01
26,Apple,Proximity,Software,2006-12-01
27,Apple,P.A. Semi,Semiconductors,2008-04-01
28,Apple,Placebase,Maps,2009-07-01
29,Apple,Lala.com,Music streaming,2009-12-01
30,Apple,Quattro Wireless,Mobile advertising,2010-01-01
31,Apple,Intrinsity,Semiconductors,2010-04-01
32,Apple,Siri,Voice control software,2010-04-01
33,Apple,Gipsy Moth Studios,Application Regionalization Firm,2010-05-01
34,Apple,Poly9,Web-based mapping,2010-07-01
35,Apple,Polar Rose,Facial recognition,2010-09-01
36,Apple,IMSense,High-dynamic-range (HDR) photography,2010-09-01
37,Apple,C3 Technologies,3D mapping,2011-08-01
38,Apple,Anobit,Flash memory,2011-12-01
39,Apple,Chomp,App search engine,2012-02-01
40,Apple,Redmatica,Audio,2012-06-01
41,Apple,AuthenTec,PC and mobile security products,2012-07-01
42,Apple,Particle,HTML5 Web app firm,2012-09-01
43,Apple,Novauris Technologies,Speech recognition,
44,Apple,OttoCat,Search engine,
45,Apple,WiFiSlam,Indoor location,2013-03-01
46,Apple,Locationary,Maps,2013-07-01
47,Apple,HopStop.com,Maps,2013-07-01
48,Apple,Passif Semiconductor,Semiconductors,2013-08-01
49,Apple,Matcha,Media discovery app,2013-08-01
50,Apple,Embark,Maps,2013-08-01
51,Apple,AlgoTrim,Mobile data compression[citation needed],2013-08-01
52,Apple,Cue,Personal assistant,2013-10-01
53,Apple,PrimeSense,Structured-light 3D scanners,2013-11-01
54,Apple,Topsy,Analytics,2013-12-01
55,Apple,BroadMap,Maps,2013-12-01
56,Apple,Catch.com,Software,2013-12-01
57,Apple,Acunu,Database analytics,2013-12-01
58,Apple,SnappyLabs,Photography software,2014-01-01
59,Apple,Burstly,Software testing,2014-02-01
60,Apple,LuxVue Technology,microLED displays,2014-05-01
61,Apple,Spotsetter,Social search engine,2014-06-01
62,Apple,Swell,Music streaming,2014-06-01
63,Apple,BookLamp,Book analytics,2014-06-01
64,Apple,Beats Electronics,"Headphones, music streaming (Beats Music)",2014-08-01
65,Apple,Prss,Digital magazine,2014-09-01
66,Apple,Dryft,On-Screen Keyboard,
67,Apple,Camel Audio,Audio plug-ins and sound libraries,2015-01-01
68,Apple,Semetric,Music analytics,2015-01-01
69,Apple,FoundationDB,Database,2015-03-01
70,Apple,LinX,Camera,2015-04-01
71,Apple,Coherent Navigation,GPS,2015-04-01
72,Apple,Metaio,Augmented reality,2015-05-01
73,Apple,Mapsense,Mapping visualization and data collection,2015-09-01
74,Apple,VocalIQ,Speech technology,2015-09-01
75,Apple,Perceptio,"Machine learning, Image recognition",2015-09-01
76,Apple,Faceshift,Realtime Motion Capture,2015-11-01
77,Apple,Emotient,Emotion recognition,2016-01-01
78,Apple,LearnSprout,Education technology,2016-01-01
79,Apple,Flyby Media,Augmented reality,2016-01-01
80,Apple,LegbaCore,Platform security,2016-02-01
81,Apple,Turi,Machine learning,2016-08-01
82,Apple,Gliimpse,Personal health info collection company,2016-08-01
83,Apple,Tuplejump,Machine learning,2016-09-01
84,Apple,Indoor.io,Indoor mapping and navigation,2016-12-01
85,Apple,Workflow,Automation and scripting app,2017-03-01
86,Apple,Beddit,Sleep tracking hardware,2017-05-01
87,Apple,Lattice Data,Artificial intelligence,2017-05-01
88,Apple,SensoMotoric Instruments,Eye tracking hardware and software,2017-06-01
89,Apple,Vrvana,Augmented reality head-mounted display,2017-09-01
90,Apple,Regaind,Computer vision,2017-09-01
91,Apple,init.ai,Messaging assistant,2017-10-01
92,Apple,PowerbyProxi,Wireless charging,2017-10-01
93,Apple,InVisage Technologies,Quantum dot-based image sensors,2017-11-01
94,Apple,Pop Up Archive,tools for searching digital spoken words,2017-12-01
95,Apple,Spektral,"Computer vision, real-time editing",2017-12-01
96,Apple,Laserlike,Machine learning,
97,Apple,Silk Labs,"Artificial Intelligence, home monitoring",
98,Apple,Tueo Health,Asthma monitoring,
99,Apple,Silicon Valley Data Science,"Data science, data engineering, analytics",2017-12-01
100,Apple,Buddybuild,"Continuous integration, debugging, and testing for mobile apps.",2018-01-01
101,Apple,Texture,Digital magazine subscription service,2018-03-01
102,Apple,Akonia Holographics,Lenses for augmented reality glasses,2018-08-01
103,Apple,Shazam,Music and Image recognition,2018-09-01
104,Apple,Dialog Semiconductor (portions),Chip development,2018-10-01
105,Apple,Asaii,Music analytics,2018-10-01
106,Apple,Platoon,Artist development,2018-12-01
107,Apple,PullString,Speech technology,2019-02-01
108,Apple,Stamplay,Backend workflow development,2019-03-01
